signal,n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,mean_return,ci_lower,ci_upper,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,low_sample_warning,statistically_significant
smc_swing_choch_bullish,2721,0.5685409775817714,0.007293261943935417,0.006513777056594838,0.05458198757528431,1.4601523690436087,0.67076861828638,1.0818907006829255,0.007225470381607042,-0.8321062041549875,-0.1970357321458016,0.15795527120769787,1.1033730571506002,0.007293261943935417,0.005371265831618076,0.009352551171038623,3.960011425330034e-12,0.13362030713659712,0.6913454234216678,0.007613757039747546,4.4951481044286874e-12,True,0.7082075069197573,False,False,False
smc_equal_highs,10547,0.5730539489902342,0.007412732274557485,0.007878492545795979,0.058636613822722256,1.4315282269062264,0.6346140792104833,0.9280262706189347,0.0073553196346195365,-0.820155929947544,-0.23123445351848515,0.15432525288168206,1.0629878693506194,0.007412732274557485,0.00627888329768125,0.008502718747062786,2.999931034613425e-38,0.12641815055979544,0.41698895019113036,0.009351655462484789,3.937409482930121e-38,True,0.48648710855631877,False,False,False
smc_swing_ob_bullish_formed,7319,0.5686569203443094,0.0064848127261792465,0.006280890951790852,0.0515771235121402,1.4327289632473004,0.6311616334644837,0.9644030403113729,0.006413269824122502,-0.7072308177808667,-0.1873714359895966,0.13898441155283842,1.0816036526965442,0.0064848127261792465,0.005365952716187625,0.007707201345735932,8.762942246200011e-27,0.12573040690516318,0.6132482656339862,-0.006398007991554648,1.1152835586072741e-26,True,0.6439106789156855,False,False,False
ict_liquidity_buyside_pool_formed,59340,0.5712504213009775,0.007403535505686524,0.008155822347474473,0.05890654450419827,1.4194137334117054,0.630922312429193,0.9228195715794653,0.007332481252742645,-0.9739843044352863,-0.2755472906715505,0.15331263236663253,1.0610638977123317,0.007546585523472601,0.006721499395921854,0.00837929941018383,2.9393834949310935e-204,0.12568273301379737,0.23141415789554565,0.009179024781938359,1.1223100617009629e-203,True,0.3135288590842876,False,False,False
ict_nwog_formed,421965,0.5698268813764175,0.0076228215526772955,0.007772568443809247,0.062358817121292244,1.42155264339993,0.6136463496530813,0.859246709734656,0.007541164982235681,-0.9999666043347902,-0.3189510501119965,0.15305936489187666,1.068332754277051,0.00834188925562101,0.0075283236463428395,0.009225736974282799,0.0,0.12224127885316324,0.05708781092174792,0.012457357330185655,0.0,True,0.08267889857632457,False,False,False
smc_swing_bos_bullish,4598,0.5687255328403654,0.0060063894287641665,0.006149610367198521,0.04971334923734415,1.4149587533232957,0.6065138659057228,0.8958374541936787,0.005933025687404732,-0.7098181555092364,-0.19388856065769586,0.12790456711045817,1.06757691025119,0.0060063894287641665,0.004619259948309196,0.007476277851851489,3.28034625254944e-16,0.12082045408142064,0.31160814250819824,-0.015019555278225644,3.827070627974347e-16,True,0.3965921813740705,False,False,False
ict_ndog_formed,1941685,0.5655397245176226,0.0071218270182673285,0.007227441514158439,0.0612670792814197,1.3958989184747799,0.5835317810439518,0.8272340202457554,0.007039437481344359,-1.0,-0.6458654798606435,0.14065337563555905,1.0674717802578029,0.006782843837038752,0.0059370238594138956,0.007650742075056816,0.0,0.11624231319326406,0.49279952101584634,0.004429416526805315,0.0,True,0.5446731548069881,False,False,False
ict_liquidity_buyside_swept,44563,0.5702039808809999,0.006387574879839146,0.007244401813155221,0.05585013483654743,1.375194183786063,0.5741323902721291,0.8473529886308184,0.006319750876674378,-0.9254031202520698,-0.27885408373363213,0.1294379712333261,1.0324509816641765,0.0067332243276252545,0.0059503150770012486,0.007468688150074918,5.829850894842554e-128,0.11436990973313138,0.3317053714440723,-0.007833089048535942,1.2887038820178278e-127,True,0.4035833104957508,False,False,False
ict_mss_bullish,36729,0.5660377358490566,0.006711447792214272,0.007610027135860564,0.06132064012034352,1.3618200873745934,0.5494267584515814,0.802684324110683,0.006635493814521418,-0.9011457446894937,-0.2433939487435967,0.12957767944516627,1.0398043322262769,0.006957943211433934,0.006120531738777415,0.007841834421771735,4.075195661438351e-97,0.10944843007253124,0.7865081154178286,-0.0022359908211950805,7.441661642626554e-97,True,0.7865081154178286,False,False,False
smc_internal_ob_bullish_mitigated,54395,0.5640959647026381,0.007193771424230269,0.007807585777388049,0.06597594987339532,1.3698867915165687,0.5473577267679735,0.7566683118364548,0.007122148239194055,-0.9839753756465492,-0.32600351031115765,0.1335865579763157,1.0546931809016888,0.007614868501618028,0.006664891760904371,0.008514601707378265,7.910634730439675e-142,0.10903626909555332,0.4782203709439586,0.005389144157262326,1.9543921098733316e-141,True,0.5428447453958449,False,False,False
ict_ob_bullish_mitigated,20676,0.5801412265428516,0.009374293434143562,0.011422191658346126,0.08726050316964033,1.3751156984265778,0.539288427762186,0.6445368912236863,0.009322368315823119,-0.990633274966356,-0.43549627476744435,0.14120830688130465,0.9931327466002037,0.009354323413990407,0.008144758863045522,0.010524299549860281,1.5655681357378114e-53,0.10742882625738819,0.0004889548760244173,0.033387907698357686,2.191795390032936e-53,True,0.0008214441917210211,True,False,True
smc_internal_choch_bullish,26575,0.5676387582314205,0.006328651394086107,0.0075573279931751,0.06032850698425177,1.3444002978097245,0.5266097148417604,0.7556715739223273,0.006256400309270799,-0.8778037615772739,-0.25664312974557896,0.12024044189820508,1.0199974417257074,0.006412694910615865,0.005594472354824431,0.007257315451363873,3.252129121958209e-65,0.10490316618871649,0.3363194254131257,-0.008519654911566263,4.709980107663613e-65,True,0.4035833104957508,False,False,False
smc_equal_lows,9388,0.5514486578610993,0.005956129249463301,0.005657969488019443,0.05882578867446026,1.33274052018798,0.5082725146421919,0.742827783467273,0.005909247715105138,-0.9364434732744753,-0.30596663902249815,0.11215802762898068,1.0812266147941891,0.005956129249463301,0.004705904443610841,0.007155342184190572,1.3053535997263446e-22,0.10125030847311371,0.21766078184266277,-0.014795666218369315,1.6124956231913668e-22,True,0.30472509457972785,False,False,False
smc_swing_ob_bullish_mitigated,6820,0.5693548387096774,0.005941664889225719,0.007671497692682827,0.05987394470414977,1.3276514299856965,0.4981619495865586,0.6847975230692612,0.005867268567851299,-0.874278245520962,-0.2336100412108568,0.10988988921921457,1.0000979739140259,0.005941664889225719,0.004553646462095182,0.007308656605274503,2.961528502239669e-16,0.09923623570460878,0.2717612339130951,-0.014908561306650763,3.5538342026876027e-16,True,0.35668661951093733,False,False,False
smc_fvg_bullish_formed,68299,0.5558060879368658,0.006537339464180111,0.0065549693817872345,0.06621378120893424,1.3288874234258314,0.49562467296386803,0.7204922066471524,0.006470284705212721,-0.9918207089962866,-0.38123490880313393,0.1156830581169468,1.058461055680921,0.006644843690759608,0.005680908023614116,0.00754440721574659,4.199686713242303e-146,0.0987307981030696,0.5064867850005056,-0.0048668266216871335,1.1759122797078449e-145,True,0.5454473069236214,False,False,False
ict_ob_bullish_formed,32750,0.5638778625954198,0.005464403991766256,0.006424146838793443,0.056303981142750904,1.3196064837784618,0.48719628302866674,0.6987873309082192,0.005376571338753012,-0.9219281871989315,-0.2737953248434131,0.10281936349498656,1.0154117146527286,0.005746402679850588,0.005017046568253174,0.006516625297285969,9.709018895780984e-69,0.09705182263953983,0.0058984942520498565,-0.02341383262243319,1.5102918282325975e-68,True,0.008847741378074786,True,False,True
ict_fvg_bullish_formed,112764,0.55906140257529,0.005629047089324306,0.006254807348069158,0.05908000684732725,1.3139183894646946,0.47829365009581354,0.6915259319479824,0.005562443523918707,-0.9766257001853953,-0.3661153286056352,0.10295706448567615,1.0324686586292005,0.0054175231942345066,0.004628466799941195,0.006196012260213489,1.3019632139575756e-223,0.09527837570958171,0.0047909618883387834,-0.020173322068077204,5.4682454986218176e-223,True,0.007452607381860329,True,False,True
ict_displacement_bullish,213796,0.5604174072480308,0.005654868981633877,0.006458736455821956,0.06003271486351308,1.3091776466184637,0.47286245604355326,0.6654396035311058,0.0055776719377146275,-0.9982810179132254,-0.404654560797309,0.10162192131513823,1.0225823080285068,0.005827813962071884,0.004986268879455926,0.006696820413471011,0.0,0.09419645595723034,0.004087446992599007,-0.01959499462299564,0.0,True,0.00660279898804455,True,False,True
smc_internal_ob_bullish_formed,58717,0.5576238568046733,0.0051413282102926935,0.00585193328973288,0.05713880484184336,1.292226364975445,0.4516941306788212,0.659459137216387,0.0050630888568203546,-0.9284895154407415,-0.30123691468779423,0.09270149628939356,1.0206149226762267,0.005907258247399859,0.005136133384623269,0.006715057659598818,5.6204293809908974e-105,0.08997962460929256,0.0002062086052338273,-0.02868301176937386,1.0729910636437168e-104,True,0.00036086505915919776,True,False,True
ict_volume_imbalance_bullish,118438,0.554205575913136,0.004916858268639889,0.005575710276098711,0.05863006567883927,1.272836373902003,0.42098592814532015,0.5892113922802696,0.004853836052765952,-0.9831274272686957,-0.4064082876247374,0.08358433774505425,1.0202819331929782,0.004934312872770927,0.00413484999882498,0.00573802294530315,1.5852641451642495e-182,0.08386240424107999,7.119325960152254e-06,-0.03206497038279117,5.121622622838344e-182,True,1.3000508275060636e-05,True,False,True
ict_bos_bullish,81274,0.5513817456997318,0.004270743560273713,0.004961427968208754,0.05456942116162377,1.2528572771952082,0.39287502169493577,0.5757577148239233,0.004192560178681502,-0.9656920611636266,-0.3749973300687086,0.07307250909199321,1.014659789820938,0.004418790213451094,0.0036406854723044176,0.00514859733259153,6.115386641675393e-110,0.07826257763710963,4.321103944627826e-09,-0.044208557200403564,1.2230773283350786e-109,True,9.55191398286151e-09,True,False,True
smc_internal_bos_bullish,32142,0.5493435380499035,0.0041596496087959,0.0046808812271744715,0.05434176281937253,1.245451680421031,0.3842583351926477,0.5716996094901085,0.004077354479366427,-0.8443677540898304,-0.32176578309785037,0.07044429517351439,1.0167744222273976,0.004051917916451435,0.0032947580437012896,0.0047924058104284,9.716929784894957e-43,0.07654609259957626,6.667469720357133e-08,-0.04619759642211267,1.3164872611793167e-42,True,1.2728805829772707e-07,True,False,True
